379, gỉ, già cỗi
380, già dái non hột, giả thử
381, giả trá, giá trị trao đổi
382, giá trị tuyệt đối, giải pháp
383, giải phẫu, giảm phát
384, giảm phát, gian thương
385, gian trá, giảnh
386, giành giật, giao thông
387, giao thông hào, giáp
388, giáp, giặc giã
389, giặc giã, giật gấu vá vai
390, giật giải, giấy dó
391, giấy đánh máy, giết
392, giết, giong
393, giong, giơ tay múa chân
394, giờ, giúi giụi
395, giụi, gò
396, gò, gom nhặt
397, gom nhóp, gỗ sến
398, gố súc, gợi mở
399, gợi tả, gườm
400, gườm, gượng nhẹ
401, h, hạ bút thành chương
402, hạ cam, hạch hỏi
403, hạch mồ hôi, hải hà
404, hải khẩu, hàm
405, hàm ẩn, han gắn
406, hàn gắn, hàng
407, hàng, hàng xách
408, hàng xáo, hành lang
409, hành lang, hao tiền tốn của
410, hao tổn, hát
411, hát ả đảo, hau háu
412, hau háu, hăm hở
413, hăm hở, hắt hủi
414, hắt xì, hấp háy
415, hấp háy, hậu mãi
416, hậu môn, hèn kém
417, hèn kém, hể hả
418, hể hả, hết cái thì đến nước
419, hết chỗ nói, hì hì
420, hì hục, hiếm muộn
421, hiếm như vàng, hiện
422, hiện, hiểu biết
423, hiểu biết, hiệu triệu
424, hiệu trưởng, hình thái
425, hình thang, họ
426, họ, hoa mặt trời
427, hoa mật, hoà mục
428, hoà nhã, hoá học
429, hoá học, hoài bão
430, hoài cảm, hoãn
431, hoãn, hoàng đản
432, hoàng đạo, hoạt động
433, hoạt động, học phái
434, học phẩm, hom
435, hom, hót
436, hót, hộ
437, hộ chiếu, hồi phục
438, hồi phục, hội kiến
439, hội kiến, hỗn chiến
440, hỗn danh, hổng
441, hống hách, hơi
442, hơi, hớn hở
443, hớp, hớt hải
444, hớt hơ hớt hải, hùi hụi
445, hùi hụi, hùng hùng hổ hổ
446, hùng hùng hổ hổ, huỵch toẹt
447, huyên náo, huynh đệ
448, huynh đệ, hưng vượng
449, hưng vượng, hưởng thọ
450, hưởng họ, hữu trách
451, hữu trách, Hz
452, i, ỉa
453, ỉa, in hoa
454, in ỉn, ỉu
455, ỉu xì, ỉu xịu
456, j, jupe
457, k, kèm nhẻm kèm nhèm
458, kẽm, kéo bè kéo cánh
459, kéo bè kéo cánh, kế tiếp
460, kế toán, kết hôn
461, kết hợp, khả dung
462, khả dụng, khách quen
463, khách quí, khai trường
464, khai vị, kháng
465, kháng án, khảo nghiệm
466, khảo sát, khăn cổ
467, khăn đắp, khẩn
468, khẩn, khấu đầu khấu đuôi
469, khấu đầu khấu đuôi, khế
470, khế cơm, khí than
471, khí thế, khiếp nhược
472, khiếp sợ, kho
473, kho, khoa mục
474, khoa ngoại, khoan nhượng
475, khoan nhượng, khoe
476, khoe, khô mộc
477, khô ráo,"khôn làm cột cái,dại làm cột con"
478, khôn lắm dại nhiều, không gì lay chuyển nổi
479, không gian, khơi
480, khơi, khu vực liên kết
481, khu xử, khui
482, khum, khuyến
483, khuyến khích, ki
484, ki bo, kĩ
485, kĩ càng, kích thích
486, kích thích tố, kiếm thuật
487, kiệm, kiếp
488, kiết, kim loại đen
489, kim loại hiếm, kinh hoảng
490, kinh hoảng, kính mến
491, kính nể, KW-h
492, l, lả
493, lả lơi, lạ nước lạ non
494, lạ tai, lạch ạch
495, lạch ạch, lãi sô
496, lãi suất, làm bàn
497, làm bạn, làm đồng
498, làm đồng mẫu số, làm mất lòng
499, làm mất lòng, làm thuê
500, làm thuốc, làn
501, làn điệu, làng xóm
502, làng xóm, lanh
503, lanh canh, lãnh thổ
504, lãnh thổ bổ sung, lao lực
505, lao lực, lạo xạo
506, láp nháp, lay bay
507, lay chuyển, lăm le
508, lăm le, lăn xăn
509, lằn, lẳng
510, lằng đẳng, lắp ghép
511, lắp ghép, lâm thời
512, lâm trận, lấm như vùi
513, lậm, lẫn
514, lẫn cẫn, lập công
515, lập dập, lật mặt như trở bàn tay
516, lật ngửa, lây nhiễm
517, lây phây, lấy lệ
518, lấy lòng, lé
519, lé mé, lén lút
520, leng béng, lẹo
521, lẹo, lễ bạc tâm thành
522, lễ bái, lên bổng xuống trầm
523, lên cân, lệnh
524, lệnh, li biệt
525, li dị, lí trí
526, lí tưởng, liệc
527, liêm, liên tịch
528, liên tiếp, liều liệu
529, liều lĩnh, linh tinh lang tang
530, linh tính, lìu khiu
531, líu, lò đúc
532, lò đúc thép, loã
533, loã, loạn lạc
534, loạn lạc, loăng ngoăng
535, loăng quăng, loi choi
536, loi choi, lòn thòn
537, lòn tòn, lòng không dạ đói
538, long kiến dạ kiến, lóp ngóp
539, lọp, lỗ đỗ
540, lỗ độn, lộc
541, lộc, lồn
542, lồn lột, lông lốc
543, lông mao, lộp độp
544, lộp độp, lở loét
545, lở lói, lời giải
546, lời giáo đầu, lơn xơn
547, lờn, lớp cách nhiệt
548, lớp chọn, lú gan
549, lú gan, luân phiên
550, luân phiên, lúc cúc
551, lúc đầu, lục phàn
552, lục phủ, lúm chúm
553, lúm cúm, lủng ca lủng củng
554, lủng củng, luồn lỏi
555, luồn lọt, luỹ tiến
556, luỹ tiến, lừa bịp
557, lừa cơ, lưng
558, lưng, lược thao
559, lược thuật, lườm
560, lườm, lương thêm
561, lương thiện, lượng tình
562, lượng tử, lưu ngôn
563, lưu nhiệm, lựu pháo
564, m, ma-níp
565, ma-nơ-canh, mã hoá
566, mã hoá, mạch đồ
567, mạch ghép, mài giũa
568, mài miệt, màn gọng
569, màn hiện sóng, mang máng
570, mang mẻ, máng cỏ
571, máng dẫn nước, mánh
572, mánh, mát da mát thịt
573, mát dạ, mau nước mắt
574, màu, màu trắng
575, màu tử anh, may vá
576, may vá, máy cào cỏ
577, máy cào đá, máy dệt vải tự động
578, máy dò, máy ép
579, máy ép, máy kiểm vải
580, máy Kim quay, may phay
581, may phay, máy tiện
582, máy tiện răng, mắc coọc
583, mắc công, mằn
584, mằn, mắt nhắm mắt mở
585, mắt phượng mày ngài, mặt người dạ thú
586, mặt nhăn mày nhó, mẩn
587, mẩn, mất ngủ
588, mất ngủ, mẫu
589, mẫu, mấy mươi
590, mấy mươi, men
591, men, mê-đi-a
592, mê gái, mến phục
593, mến thương, mĩ cảm
594, mĩ dục, miễn là
595, miễn là, minh chủ
596, minh chứng, mò mò
597, mò mò, moi móc
598, moi ruột moi gan, mỏng dính
599, mỏng dính, mô phạm
600, mô Phật, mộc
601, mộc, mội
602, mội, mộng du
603, mộng dương, một lầm hai lỗi
604, một lèo, mơ mộng
605, mơ mộng, mỡ
606, mỡ để miệng mèo, mớm
607, mớm, mụ o
608, mụ trùm, múa mép
